title,issue,year,class,grade_numeric,community_url
Amazing Spider-Man,16,1964,raw_community,5.0,https://boards.cgccomics.com/topic/541274-pgm-amazing-spider-man-16/
Amazing Spider-Man,17,1964,raw_community,7.5,https://boards.cgccomics.com/topic/541275-pgm-amazing-spider-man-17/
Amazing Spider-Man,18,1964,raw_community,6.0,https://boards.cgccomics.com/topic/541346-pgm-amazing-spider-man-18/
Amazing Spider-Man,21,1965,raw_community,7.5,https://boards.cgccomics.com/topic/541473-pgm-amazing-spider-man-21/
Amazing Spider-Man,22,1965,raw_community,7.5,https://boards.cgccomics.com/topic/541474-pgm-amazing-spider-man-22/
Amazing Spider-Man,23,1965,raw_community,7.5,https://boards.cgccomics.com/topic/541475-pgm-amazing-spider-man-23/
Amazing Spider-Man,24,1965,raw_community,7.0,https://boards.cgccomics.com/topic/541545-pgm-amazine-spider-man-24/
Amazing Spider-Man,32,1966,raw_community,7.5,https://boards.cgccomics.com/topic/541622-pgm-amazing-spider-man-32/
Amazing Spider-Man,33,1966,raw_community,7.5,https://boards.cgccomics.com/topic/541651-pgm-amazing-spider-man-33/
Amazing Spider-Man,34,1966,raw_community,7.0,https://boards.cgccomics.com/topic/541652-pgm-amazing-spider-man-34/
Amazing Spider-Man,35,1966,raw_community,7.5,https://boards.cgccomics.com/topic/539388-pgm-asm-35/
Amazing Spider-Man,36,1966,raw_community,7.5,https://boards.cgccomics.com/topic/541654-pgm-amazing-spider-man-36/
Amazing Spider-Man,37,1966,raw_community,7.5,https://boards.cgccomics.com/topic/541677-pgm-amazing-spider-man-37/
Amazing Spider-Man,38,1966,raw_community,7.5,https://boards.cgccomics.com/topic/539391-pgm-asm-38/
Amazing Spider-Man,44,1967,raw_community,5.0,https://boards.cgccomics.com/topic/541678-pgm-amazing-spider-man-44/
Amazing Spider-Man,46,1967,raw_community,6.0,https://boards.cgccomics.com/topic/541679-pgm-amazing-spider-man-46/
Fantastic Four,9,1962,raw_community,4.0,https://boards.cgccomics.com/topic/541702-pgm-fantastic-four-9/
Fantastic Four,18,1963,raw_community,4.0,https://boards.cgccomics.com/topic/541724-pgm-fantastic-four-18/
Fantastic Four,19,1963,raw_community,3.0,https://boards.cgccomics.com/topic/541725-pgm-fantastic-four-19/
Fantastic Four,23,1964,raw_community,4.0,https://boards.cgccomics.com/topic/541764-pgm-fantastic-four-23/
Fantastic Four,24,1964,raw_community,3.0,https://boards.cgccomics.com/topic/541797-pgm-fantastic-four-24/
Fantastic Four,26,1964,raw_community,2.0,https://boards.cgccomics.com/topic/541801-pgm-fantastic-four-26/
Fantastic Four,29,1964,raw_community,4.0,https://boards.cgccomics.com/topic/541836-pgm-fantastic-four-29/
Fantastic Four,30,1964,raw_community,4.0,https://boards.cgccomics.com/topic/541837-pgm-fantastic-four-30/
Fantastic Four,31,1964,raw_community,3.0,https://boards.cgccomics.com/topic/541838-pgm-fantastic-four-31/
Fantastic Four,32,1964,raw_community,6.0,https://boards.cgccomics.com/topic/539410-pgm-fantastic-four-32/
Fantastic Four,33,1964,raw_community,7.0,https://boards.cgccomics.com/topic/539411-pgm-fantastic-four-33/
Fantastic Four,34,1965,raw_community,7.0,https://boards.cgccomics.com/topic/539412-pgm-fantastic-four-34/
Fantastic Four,35,1965,raw_community,7.0,https://boards.cgccomics.com/topic/539437-pgm-fantastic-four-35/
Fantastic Four,36,1965,raw_community,7.5,https://boards.cgccomics.com/topic/539438-pgm-fantstic-four-36/
Fantastic Four,37,1965,raw_community,7.5,https://boards.cgccomics.com/topic/539439-pgm-fantastic-four-37/
Fantastic Four,40,1965,raw_community,7.5,https://boards.cgccomics.com/topic/539450-pgm-fantastic-four-40/
Fantastic Four,42,1965,raw_community,7.5,https://boards.cgccomics.com/topic/539489-pgm-fantastic-four-42/
Fantastic Four,43,1965,raw_community,7.5,https://boards.cgccomics.com/topic/539493-pgm-fantastic-four-43/
Fantastic Four,51,1966,raw_community,6.0,https://boards.cgccomics.com/topic/539613-pgm-fantastic-four-51/
Fantastic Four,53,1966,raw_community,6.0,https://boards.cgccomics.com/topic/539828-pgm-fantastic-four-53/
Fantastic Four,59,1967,raw_community,6.5,https://boards.cgccomics.com/topic/541129-pgm-fantastic-four-59/
Fantastic Four,60,1967,raw_community,6.0,https://boards.cgccomics.com/topic/541130-pgm-fantastic-four-60/
Fantastic Four,61,1967,raw_community,7.5,https://boards.cgccomics.com/topic/541132-pgm-fantastic-four-61/
Fantastic Four,62,1967,raw_community,6.5,https://boards.cgccomics.com/topic/541166-pgm-fantastic-four-62/
Fantastic Four,63,1967,raw_community,7.5,https://boards.cgccomics.com/topic/541167-pgm-fantastic-four-63/
Fantastic Four,68,1967,raw_community,7.5,https://boards.cgccomics.com/topic/541185-pgm-fantastic-four-68/
Fantastic Four,70,1968,raw_community,5.0,https://boards.cgccomics.com/topic/541186-pgm-fantastic-four-70/
Fantastic Four,76,1968,raw_community,5.0,https://boards.cgccomics.com/topic/541251-pgm-fantastic-four-76/
Fantastic Four,77,1968,raw_community,3.0,https://boards.cgccomics.com/topic/541252-pgm-fantastic-four-77/
Fantastic Four,78,1968,raw_community,5.5,https://boards.cgccomics.com/topic/541253-pgm-fantastic-four-78/
Amazing Spider-Man,19,1964,slabbed,9.0,https://boards.cgccomics.com/topic/539316-pgm-asm-19/
Amazing Spider-Man,20,1965,slabbed,8.5,https://boards.cgccomics.com/topic/539318-pgm-asm-20/
Amazing Spider-Man,27,1965,slabbed,8.0,https://boards.cgccomics.com/topic/541589-pgm-amazing-spider-man-27/
Amazing Spider-Man,30,1965,slabbed,7.5,https://boards.cgccomics.com/topic/541620-pgm-amazing-spider-man-30/
Fantastic Four,13,1963,slabbed,4.5,https://boards.cgccomics.com/topic/541703-pgm-fantastic-four-13/
Fantastic Four,15,1963,slabbed,5.0,https://boards.cgccomics.com/topic/541704-pgm-fantastic-four-15/
Fantastic Four,16,1963,slabbed,5.0,https://boards.cgccomics.com/topic/541723-pgm-fantastic-four-16/
Fantastic Four,38,1965,slabbed,8.5,https://boards.cgccomics.com/topic/539449-pgm-fantastic-four-38/
Fantastic Four,39,1965,slabbed,9.0,https://boards.cgccomics.com/topic/539306-pgm-fantastic-four-39/
Fantastic Four,41,1965,slabbed,9.0,https://boards.cgccomics.com/topic/539452-pgm-fantastic-four-41/
Fantastic Four,44,1965,slabbed,9.2,https://boards.cgccomics.com/topic/539494-pgm-fantastic-four-44/
Fantastic Four,46,1966,slabbed,9.0,https://boards.cgccomics.com/topic/539387-pgm-fantastic-four-46/
Fantastic Four,47,1966,slabbed,9.0,https://boards.cgccomics.com/topic/539541-pgm-fantastic-four-47/
Fantastic Four,55,1966,slabbed,9.2,https://boards.cgccomics.com/topic/539829-pgm-fantastic-four-55/
Fantastic Four,56,1966,slabbed,7.5,https://boards.cgccomics.com/topic/539830-pgm-fantastic-four-56/
Fantastic Four,58,1967,slabbed,9.2,https://boards.cgccomics.com/topic/541082-pgm-fantastic-four-58/
Fantastic Four,67,1967,slabbed,8.0,https://boards.cgccomics.com/topic/541168-pgm-fantastic-four-67/
Mighty Thor,114,1965,slabbed,7.0,
Mighty Thor,115,1965,slabbed,9.0,
Mighty Thor,116,1965,slabbed,8.0,
Mighty Thor,118,1965,slabbed,9.2,
Mighty Thor,134,1966,slabbed,5.5,
Tales of Suspense,59,1964,slabbed,7.0,
X-Men,10,1965,slabbed,7.0,
X-Men,11,1965,slabbed,6.5,
X-Men,12,1965,slabbed,6.5,
X-Men,13,1965,slabbed,6.0,
X-Men,16,1966,slabbed,5.0,
X-Men,18,1966,slabbed,5.0,
X-Men,23,1966,slabbed,5.0,
