title,issue,year,class,grade_numeric,ebay_query,ebay_sold_url
Amazing Spider-Man,16,1964,raw_community,5.0,Amazing Spider-Man 16,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+16&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,17,1964,raw_community,7.5,Amazing Spider-Man 17,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+17&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,18,1964,raw_community,6.0,Amazing Spider-Man 18,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+18&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,21,1965,raw_community,7.5,Amazing Spider-Man 21,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+21&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,22,1965,raw_community,7.5,Amazing Spider-Man 22,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+22&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,23,1965,raw_community,7.5,Amazing Spider-Man 23,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+23&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,24,1965,raw_community,7.0,Amazing Spider-Man 24,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+24&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,32,1966,raw_community,7.5,Amazing Spider-Man 32,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+32&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,33,1966,raw_community,7.5,Amazing Spider-Man 33,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+33&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,34,1966,raw_community,7.0,Amazing Spider-Man 34,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+34&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,35,1966,raw_community,7.5,Amazing Spider-Man 35,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+35&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,36,1966,raw_community,7.5,Amazing Spider-Man 36,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+36&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,37,1966,raw_community,7.5,Amazing Spider-Man 37,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+37&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,38,1966,raw_community,7.5,Amazing Spider-Man 38,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+38&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,44,1967,raw_community,5.0,Amazing Spider-Man 44,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+44&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,46,1967,raw_community,6.0,Amazing Spider-Man 46,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+46&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,9,1962,raw_community,4.0,Fantastic Four 9,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+9&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,18,1963,raw_community,4.0,Fantastic Four 18,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+18&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,19,1963,raw_community,3.0,Fantastic Four 19,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+19&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,23,1964,raw_community,4.0,Fantastic Four 23,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+23&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,24,1964,raw_community,3.0,Fantastic Four 24,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+24&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,26,1964,raw_community,2.0,Fantastic Four 26,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+26&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,29,1964,raw_community,4.0,Fantastic Four 29,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+29&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,30,1964,raw_community,4.0,Fantastic Four 30,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+30&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,31,1964,raw_community,3.0,Fantastic Four 31,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+31&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,32,1964,raw_community,6.0,Fantastic Four 32,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+32&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,33,1964,raw_community,7.0,Fantastic Four 33,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+33&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,34,1965,raw_community,7.0,Fantastic Four 34,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+34&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,35,1965,raw_community,7.0,Fantastic Four 35,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+35&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,36,1965,raw_community,7.5,Fantastic Four 36,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+36&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,37,1965,raw_community,7.5,Fantastic Four 37,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+37&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,40,1965,raw_community,7.5,Fantastic Four 40,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+40&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,42,1965,raw_community,7.5,Fantastic Four 42,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+42&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,43,1965,raw_community,7.5,Fantastic Four 43,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+43&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,51,1966,raw_community,6.0,Fantastic Four 51,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+51&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,53,1966,raw_community,6.0,Fantastic Four 53,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+53&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,59,1967,raw_community,6.5,Fantastic Four 59,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+59&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,60,1967,raw_community,6.0,Fantastic Four 60,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+60&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,61,1967,raw_community,7.5,Fantastic Four 61,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+61&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,62,1967,raw_community,6.5,Fantastic Four 62,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+62&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,63,1967,raw_community,7.5,Fantastic Four 63,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+63&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,68,1967,raw_community,7.5,Fantastic Four 68,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+68&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,70,1968,raw_community,5.0,Fantastic Four 70,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+70&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,76,1968,raw_community,5.0,Fantastic Four 76,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+76&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,77,1968,raw_community,3.0,Fantastic Four 77,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+77&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,78,1968,raw_community,5.5,Fantastic Four 78,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+78&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,19,1964,slabbed,9.0,Amazing Spider-Man 19,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+19&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,20,1965,slabbed,8.5,Amazing Spider-Man 20,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+20&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,27,1965,slabbed,8.0,Amazing Spider-Man 27,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+27&_sacat=0&LH_Sold=1&LH_Complete=1
Amazing Spider-Man,30,1965,slabbed,7.5,Amazing Spider-Man 30,https://www.ebay.com/sch/i.html?_nkw=Amazing+Spider-Man+30&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,13,1963,slabbed,4.5,Fantastic Four 13,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+13&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,15,1963,slabbed,5.0,Fantastic Four 15,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+15&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,16,1963,slabbed,5.0,Fantastic Four 16,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+16&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,38,1965,slabbed,8.5,Fantastic Four 38,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+38&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,39,1965,slabbed,9.0,Fantastic Four 39,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+39&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,41,1965,slabbed,9.0,Fantastic Four 41,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+41&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,44,1965,slabbed,9.2,Fantastic Four 44,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+44&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,46,1966,slabbed,9.0,Fantastic Four 46,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+46&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,47,1966,slabbed,9.0,Fantastic Four 47,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+47&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,55,1966,slabbed,9.2,Fantastic Four 55,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+55&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,56,1966,slabbed,7.5,Fantastic Four 56,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+56&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,58,1967,slabbed,9.2,Fantastic Four 58,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+58&_sacat=0&LH_Sold=1&LH_Complete=1
Fantastic Four,67,1967,slabbed,8.0,Fantastic Four 67,https://www.ebay.com/sch/i.html?_nkw=Fantastic+Four+67&_sacat=0&LH_Sold=1&LH_Complete=1
Mighty Thor,114,1965,slabbed,7.0,Mighty Thor 114,https://www.ebay.com/sch/i.html?_nkw=Mighty+Thor+114&_sacat=0&LH_Sold=1&LH_Complete=1
Mighty Thor,115,1965,slabbed,9.0,Mighty Thor 115,https://www.ebay.com/sch/i.html?_nkw=Mighty+Thor+115&_sacat=0&LH_Sold=1&LH_Complete=1
Mighty Thor,116,1965,slabbed,8.0,Mighty Thor 116,https://www.ebay.com/sch/i.html?_nkw=Mighty+Thor+116&_sacat=0&LH_Sold=1&LH_Complete=1
Mighty Thor,118,1965,slabbed,9.2,Mighty Thor 118,https://www.ebay.com/sch/i.html?_nkw=Mighty+Thor+118&_sacat=0&LH_Sold=1&LH_Complete=1
Mighty Thor,134,1966,slabbed,5.5,Mighty Thor 134,https://www.ebay.com/sch/i.html?_nkw=Mighty+Thor+134&_sacat=0&LH_Sold=1&LH_Complete=1
Tales of Suspense,59,1964,slabbed,7.0,Tales of Suspense 59,https://www.ebay.com/sch/i.html?_nkw=Tales+of+Suspense+59&_sacat=0&LH_Sold=1&LH_Complete=1
X-Men,10,1965,slabbed,7.0,X-Men 10,https://www.ebay.com/sch/i.html?_nkw=X-Men+10&_sacat=0&LH_Sold=1&LH_Complete=1
X-Men,11,1965,slabbed,6.5,X-Men 11,https://www.ebay.com/sch/i.html?_nkw=X-Men+11&_sacat=0&LH_Sold=1&LH_Complete=1
X-Men,12,1965,slabbed,6.5,X-Men 12,https://www.ebay.com/sch/i.html?_nkw=X-Men+12&_sacat=0&LH_Sold=1&LH_Complete=1
X-Men,13,1965,slabbed,6.0,X-Men 13,https://www.ebay.com/sch/i.html?_nkw=X-Men+13&_sacat=0&LH_Sold=1&LH_Complete=1
X-Men,16,1966,slabbed,5.0,X-Men 16,https://www.ebay.com/sch/i.html?_nkw=X-Men+16&_sacat=0&LH_Sold=1&LH_Complete=1
X-Men,18,1966,slabbed,5.0,X-Men 18,https://www.ebay.com/sch/i.html?_nkw=X-Men+18&_sacat=0&LH_Sold=1&LH_Complete=1
X-Men,23,1966,slabbed,5.0,X-Men 23,https://www.ebay.com/sch/i.html?_nkw=X-Men+23&_sacat=0&LH_Sold=1&LH_Complete=1
